"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Hardisty Light","MBL","2016-08-06","MBL-095","Hardisty","868.3","31.3","1.64","5.2","262.3","0.44","13.8","23","51","0.29","4.02","5.81","5.86","5.08","4.44","3.33","1.33","0.09","0.27","0.12","0.48","0.17","2.7","4.2","4.48","4.02","3.61","2.77","1.12","0.09","0.27","0.12","0.48","","","","","","","","","","","","",""
"Hardisty Light","MBL","2016-07-03","MBL-054","Hardisty","860","32.9","1.55","5.7","","0.43","","20","43","0.41","6.26","9.08","8.41","6.84","5.83","5.1","2.13","0.06","0.17","0.12","0.29","0.24","4.24","6.63","6.49","5.47","4.79","4.28","1.82","0.06","0.17","0.12","0.29","40.6","91.2","154.4","240","311.8","378.5","441.1","515.6","606.4","","","",""
"Hardisty Light","MBL","2016-06-17","MBL-051","Hardisty","862.7","32.4","1.35","5","","0.44","","16","36","0.24","4.13","5.08","5.4","5.01","5.15","3.86","1.66","0.04","0.05","0.07","0.57","0.14","2.79","3.7","4.15","3.99","4.21","3.23","1.41","0.04","0.05","0.07","0.57","","","","","","","","","","","","",""
"Hardisty Light","MBL","2016-05-11","MBL-505","Hardisty","870.8","30.9","1.47","4.5","175.4","0.57","8.5","18","38","0.24","3.55","3.81","4.36","4.43","4.29","3.98","1.71","0.04","0.1","0.07","0.26","0.14","2.38","2.75","3.32","3.5","3.48","3.3","1.44","0.04","0.1","0.07","0.26","","","","","","","","","","","","",""
"Hardisty Light","MBL","2016-04-01","MBL-503","Hardisty","852.8","34.3","1.18","4.1","","0.37","","14","28","0.36","5.23","4.63","5.16","4.99","4.79","4.3","1.87","0.04","0.13","0.12","0.41","0.21","3.57","3.41","4.01","4.02","3.97","3.64","1.61","0.04","0.13","0.12","0.42","41.3","85.9","158.4","226","288.8","345.3","404.5","465","545.8","659.5","","",""
"Hardisty Light","MBL","2016-03-01","MBL-030","Hardisty","860.2","32.8","1.06","4","","0.27","","15","45","0.33","4.53","2.46","3.89","4.71","4.93","4.64","2.03","0.03","0.09","0.11","0.35","0.19","3.07","1.8","3","3.76","4.05","3.89","1.73","0.03","0.09","0.11","0.35","","","","","","","","","","","","",""
"Hardisty Light","MBL","2016-02-04","MBL-498","Hardisty","859.7","32.9","1.05","4.2","242.5","0.18","14.6","15","28","0.43","4.82","2.5","4.06","4.89","5.1","4.46","1.66","0.03","0.15","0.13","0.49","0.25","3.26","1.83","3.13","3.91","4.19","3.74","1.42","0.03","0.15","0.13","0.49","70.3","114.8","197.1","270.8","335.3","403.3","470.8","555.4","679.1","","","",""
"Hardisty Light","MBL","2016-01-28","MBL-069","Hardisty","863.5","32.2","1.07","4.2","","0.22","","14","28","0.33","4.56","2.55","4.02","4.81","4.99","4.7","1.94","0.03","0.17","0.13","0.48","0.19","3.07","1.86","3.09","3.83","4.08","3.93","1.65","0.03","0.17","0.13","0.48","","","","","","","","","","","","",""
"Hardisty Light","MBL","2015-12-10","MBL-494","Hardisty","864.1","32.1","1.26","4.8","","0.38","","18","36","0.19","3.83","3.76","4.69","4.83","4.7","3.86","1.91","0.06","0.2","0.13","0.49","0.11","2.58","2.73","3.6","3.84","3.84","3.22","1.62","0.06","0.2","0.13","0.49","53.1","99.3","176","249.5","311.4","371.6","430.3","496.6","579.2","691.1","","",""
"Hardisty Light","MBL","2015-11-06","MBL-002","Hardisty","875.9","29.9","1.53","4.9","211.7","0.59","17.1","18","39","0.33","4.49","2.85","3.83","4.22","4.22","3.44","1.62","0.04","0.15","0.11","0.42","0.19","2.98","2.04","2.9","3.31","3.4","2.83","1.36","0.04","0.15","0.11","0.42","62.3","110.9","200","268.8","327.5","384.3","436.7","502.6","590.6","717.9","","",""
