"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Midale","MSM","2018-08-12","MSM-051","Cromer","863.2","32.3","2.24","5.2","","0.22","","12.4","22.4","0.29","4.79","2.32","5.26","5.39","5.83","4.4","2.32","0.83","1.11","0.61","0.62","0.17","3.24","1.69","4.04","4.29","4.77","3.68","1.97","0.85","1.12","0.62","0.62","57.1","97.4","150.2","203.9","265.5","324.3","387.4","452.9","531.6","647.8","","",""
"Midale","MSM","2018-07-05","MSM-040","Cromer","861.3","32.6","2.2","4.9","731.2","0.19","18.2","16","28.1","0.33","5.08","2.55","5.56","5.55","5.96","4.55","2.64","0.87","1.15","0.64","0.63","0.19","3.44","1.86","4.28","4.43","4.89","3.81","2.25","0.89","1.16","0.65","0.63","","","","","","","","","","","","",""
"Midale","MSM","2018-06-07","MSM-033","Cromer","861.4","32.6","2.22","5","","0.18","","11.3","20.3","0.41","5.05","2.77","5.47","5.45","5.98","4.86","2.5","0.75","0.95","0.55","0.48","0.24","3.43","2.02","4.21","4.35","4.9","4.07","2.13","0.77","0.96","0.56","0.48","","","","","","","","","","","","",""
"Midale","MSM","2018-05-20","MSM-028","Cromer","861.2","32.7","2.12","4.9","","0.11","","14","26.1","0.34","4.55","2.65","5.24","5.27","5.88","4.54","2.24","0.69","0.86","0.51","0.48","0.2","3.08","1.93","4.04","4.21","4.82","3.8","1.91","0.71","0.87","0.52","0.48","59.7","90.6","154.8","215.9","274.3","331.5","394.5","459.9","542.8","670.9","","",""
"Midale","MSM","2018-04-12","MSM-018","Cromer","862.3","32.4","2.3","5.5","464.4","0.22","6.1","17","31.4","0.38","5.5","2.49","4.52","4.57","4.87","4.2","2.25","0.61","0.79","0.43","0.42","0.22","3.72","1.81","3.48","3.64","3.99","3.51","1.91","0.63","0.8","0.43","0.42","","","","","","","","","","","","",""
"Midale","MSM","2017-12-31","MSM-060","Cromer","862.8","32.4","2.09","4.6","","0.22","","12.9","20.9","0.46","4.65","2.92","5.68","5.59","5.85","4.53","2.36","0.83","1.11","0.62","0.6","0.27","3.15","2.13","4.37","4.45","4.79","3.79","2","0.85","1.12","0.63","0.6","","","","","","","","","","","","",""
"Midale","MSM","2017-09-14","MSM-043","Cromer","861.6","32.6","2.35","5.2","","","","13","23.2","0.38","5.1","2.65","5.38","5.43","5.83","4.4","2.13","0.75","0.93","0.54","0.48","0.22","3.46","1.93","4.14","4.33","4.78","3.69","1.81","0.77","0.94","0.55","0.48","","","","","","","","","","","","",""
"Midale","MSM","2017-08-09","MSM-034","Cromer","869.4","31.1","2.15","5","","0.15","","11.9","20.9","0.14","1.8","2.33","4.99","5.2","5.85","5.28","2.95","0.67","0.85","0.52","0.5","0.08","1.21","1.68","3.81","4.11","4.75","4.38","2.49","0.68","0.85","0.52","0.5","","","","","","","","","","","","",""
"Midale","MSM","2017-07-15","MSM-030","Cromer","882.6","28.7","2.33","5.3","203","0.14","13.5","12.4","21.5","0.03","0.6","1.34","4.42","5.71","7.16","6.74","3.76","0.62","0.98","0.66","0.61","0.02","0.4","0.95","3.32","4.45","5.73","5.51","3.13","0.62","0.97","0.65","0.6","93.9","135.6","189.4","246.1","306.8","369.7","435.6","518.4","630.1","","","",""
"Midale","MSM","2017-06-30","MSM-028","Cromer","861.2","32.7","1.95","4.7","","0.19","","10.6","19.2","0.31","2.24","2.77","5.56","5.85","6.36","5.48","3.12","0.7","0.98","0.57","0.58","0.18","1.52","2.02","4.28","4.67","5.22","4.59","2.66","0.72","0.99","0.58","0.58","","","","","","","","","","","","",""
