"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Medium Gibson Sour","MGS","2018-05-11","MGS-439","Edmonton","840","36.8","1.82","7","22.6","56","0.19","2.75","16.56","7.46","4.83","3.89","2.62","1.24","0.27","0.43","0.13","0.42","0.11","1.91","12.37","5.89","3.95","3.27","2.25","1.08","0.28","0.45","0.13","0.43","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2018-04-05","MGS-431","Edmonton","856.9","33.5","2.02","7.1","25.1","61.2","0.34","4.87","8.57","8.15","6.96","5.93","3.53","1.53","0.33","0.79","0.21","0.81","0.2","3.31","6.28","6.31","5.58","4.89","2.97","1.31","0.34","0.8","0.21","0.82","37.7","67.7","123.9","219.2","315.5","400.4","472.9","550.3","646.7","","","",""
"Medium Gibson Sour","MGS","2018-03-18","MGS-424","Edmonton","861","32.7","1.7","7.7","25.4","55.9","0.29","4.61","6.59","7.28","7.29","6.51","4.03","1.86","0.32","0.91","0.23","0.95","0.17","3.12","4.81","5.61","5.82","5.34","3.38","1.58","0.33","0.92","0.23","0.96","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2018-02-01","MGS-416","Edmonton","863.5","32.2","1.96","7.9","25.5","58","0.31","4.38","8.52","6.98","5.44","4.6","3.09","1.6","0.26","0.56","0.17","0.63","0.18","2.95","6.2","5.36","4.33","3.76","2.58","1.36","0.27","0.57","0.17","0.63","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2018-01-05","MGS-412","Edmonton","860","32.9","2.24","6.6","27.1","77.3","0.29","4.76","7.1","7.18","6.78","5.73","3.51","1.79","0.35","0.87","0.21","0.89","0.17","3.22","5.18","5.54","5.42","4.71","2.94","1.53","0.36","0.88","0.21","0.9","39.4","76.9","140.5","232.5","316.1","393.3","468.5","560","678.9","","","",""
"Medium Gibson Sour","MGS","2017-12-02","MGS-408","Edmonton","834.9","37.8","1.59","6","16.3","41.2","0.28","3.83","13.63","9.36","6.64","4.92","3.59","2.05","0.26","0.53","0.09","0.44","0.17","2.67","10.25","7.43","5.46","4.16","3.1","1.8","0.28","0.55","0.09","0.46","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2017-10-01","MGS-388","Edmonton","822.9","40.3","1.4","5.3","13.9","32.4","0.36","4.25","10.1","8.66","7.7","6.54","4.7","2.26","0.31","0.73","0.16","0.75","0.22","3.01","7.7","6.98","6.43","5.61","4.12","2.01","0.33","0.77","0.17","0.79","37.2","61","101.7","155.9","217.7","303.6","391","471.8","561.4","695.3","","",""
"Medium Gibson Sour","MGS","2017-08-05","MGS-376","Edmonton","822.3","40.4","1.52","6.3","20.9","50.9","0.21","3.32","15.29","11.63","8.91","5.9","3.58","1.87","0.52","1.18","0.16","0.91","0.13","2.35","11.68","9.38","7.45","5.07","3.14","1.67","0.56","1.25","0.17","0.96","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2017-06-06","MGS-112","Edmonton","826.9","39.5","1.44","5.8","17.3","42.3","0.25","3.48","12.82","10.21","7.95","6.29","3.92","2.01","0.35","0.88","0.19","0.92","0.15","2.45","9.73","8.19","6.61","5.37","3.42","1.78","0.37","0.93","0.2","0.96","36.7","43.5","99.6","143.9","219.9","312.3","392","476.1","563.6","695.2","","",""
"Medium Gibson Sour","MGS","2017-04-02","MGS-106","Edmonton","829","39","1.85","5.1","24.7","60.3","0.27","3.7","8.87","9.61","9.65","7.16","4.03","1.92","0.47","1.46","0.2","1.33","0.16","2.6","6.72","7.69","8","6.1","3.51","1.7","0.5","1.53","0.21","1.39","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2017-02-04","MGS-094","Edmonton","867.3","31.5","2.18","9.7","31.8","71.2","0.28","3.42","11.4","9.69","6.98","4.79","3.03","1.48","0.29","0.77","0.14","0.7","0.16","2.3","8.26","7.41","5.53","3.9","2.52","1.25","0.3","0.77","0.14","0.7","36.7","55","103.1","187","315.6","418.3","486.4","554.2","638.8","","","",""
"Medium Gibson Sour","MGS","2016-10-16","MGS-072","Edmonton","825.9","39.7","1.31","5.1","16","37","0.25","6.38","10.73","11.41","9.71","7.13","4.3","1.96","0.38","1.04","0.15","1.07","0.15","4.5","8.16","9.16","8.08","6.1","3.75","1.74","0.41","1.1","0.16","1.12","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2016-08-03","MGS-048","Edmonton","842.6","36.3","2","3.1","31","80","0.22","3.36","12.89","10.25","7.92","5.39","3.17","1.4","0.42","1.04","0.18","0.9","0.13","2.33","9.61","8.07","6.46","4.52","2.71","1.22","0.44","1.08","0.19","0.93","36.3","47.7","95.9","167.2","279.5","373.3","460.8","556","688.4","","","",""
"Medium Gibson Sour","MGS","2016-06-02","MGS-035","Edmonton","827.1","39.4","2.09","6.1","31","89","0.23","5.29","12.61","11.06","8.45","5.89","4.2","1.64","0.31","0.73","0.07","0.44","0.14","3.72","9.57","8.87","7.02","5.03","3.66","1.45","0.33","0.77","0.07","0.46","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2016-04-06","MGS-026","Edmonton","834.8","37.9","1.85","7.3","32","80","0.3","5.3","10.83","12.31","10.09","6.42","3.47","1.4","0.53","1.26","0.17","0.91","0.18","3.71","8.15","9.79","8.31","5.44","3","1.23","0.56","1.32","0.18","0.95","35.9","43.2","81.9","120.1","211.5","332","425.9","511.9","613.7","","","",""
"Medium Gibson Sour","MGS","2016-02-08","MGS-014","Edmonton","855.8","33.7","2.15","6.1","31","82","0.34","5.45","4.6","7.6","10.76","8.38","4.77","1.94","0.65","2.35","0.28","1.89","0.2","3.74","3.37","5.89","8.64","6.91","4.02","1.66","0.67","2.39","0.28","1.91","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2015-12-15","MGS-410","Edmonton","828.8","39.1","1","4","16","37","0.23","6.96","5.26","6.95","7.28","7.93","6.35","3.36","0.23","0.72","0.27","0.92","0.14","4.9","3.99","5.56","6.03","6.75","5.52","2.97","0.25","0.76","0.28","0.96","52.6","92.3","139.7","186.9","272.6","348.8","425.2","512.8","642.1","","","",""
"Medium Gibson Sour","MGS","2012-01-30","MGS-400","Edmonton","865.8","31.8","1.94","5.9","30","85","0.29","5.6","8.88","8.52","6.98","4.3","2.41","0.98","0.44","0.97","0.13","0.74","0.17","3.76","6.44","6.53","5.54","3.51","2.01","0.83","0.45","0.98","0.13","0.74","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2011-11-07","MGS-382","Edmonton","860.1","32.8","1.77","5.2","21","59","0.22","4.86","6.14","7.01","7.37","5.77","4.03","1.95","0.44","1.27","0.21","1.19","0.13","3.29","4.48","5.41","5.89","4.74","3.38","1.66","0.45","1.29","0.21","1.2","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2011-08-03","MGS-350","Edmonton","860.4","32.7","2.37","7","40","108","0.33","5.39","6.81","8.98","8.02","4.22","2.17","1.02","0.54","1.33","0.14","0.74","0.19","3.65","4.97","6.93","6.41","3.47","1.82","0.87","0.55","1.35","0.14","0.75","38.4","64.9","98.5","170.1","268.6","347.3","420.9","497.5","593.2","679.8","718.7","",""
"Medium Gibson Sour","MGS","2011-06-01","MGS-320","Edmonton","863.4","32.2","2.27","6.8","39","108","0.16","5.15","5.33","5.78","6.33","5.72","3.11","1.44","0.31","1.08","0.17","0.82","0.09","3.47","3.88","4.44","5.04","4.68","2.6","1.22","0.32","1.09","0.17","0.82","44.2","82.4","110.1","183.9","270.4","344.1","417","491.8","586.9","697.3","","",""
"Medium Gibson Sour","MGS","2011-04-03","MGS-295","Edmonton","856.4","33.5","2.36","6.5","37","99","0.26","5.02","8.76","9.53","9.05","6.33","3.4","1.46","0.54","1.43","0.19","1.19","0.15","3.42","6.42","7.38","7.27","5.22","2.86","1.25","0.56","1.45","0.19","1.21","","","","","","","","","","","","",""
"Medium Gibson Sour","MGS","2011-03-03","MGS-280","Edmonton","865.6","31.7","2.33","6.8","38","101","0.26","5.77","7.32","8.93","7.86","5.22","3.26","1.49","0.51","1.23","0.18","1.01","0.15","3.89","5.31","6.85","6.24","4.26","2.72","1.26","0.52","1.24","0.18","1.01","","","","","","","","","","","","",""
