"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Sediment (ppmw)","TAN (mgKOH/g)","Salt (ptb)","Nickel (mg/kg)","Vanadium (mg/kg)","Olefins (wt%)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Conventional Heavy","CHV","2018-11-02","CHV-929","Superior","929","20.7","3.61","10.2","","1.19","","57.8","133","","0.07","1.45","5.04","4.23","3.18","1.74","1.16","","0.14","0.3","0.06","0.34","0.04","0.91","3.41","3.02","2.35","1.32","0.9","-","0.13","0.28","0.06","0.32","60.3","100.9","240.1","326.2","395.5","458.3","527.9","606.5","692.8","","","",""
"Conventional Heavy","CHV","2018-10-03","CHV-904","Superior","931.9","20.2","3.63","10.2","231.1","1.24","12.6","52.2","125","","0","0.69","3.97","4.06","3.55","1.99","1.34","","0.13","0.33","0.07","0.39","0","0.43","2.68","2.89","2.62","1.51","1.04","-","0.12","0.31","0.07","0.36","70.6","133.8","268.1","348","417.4","482.5","556.3","638.7","718.9","","","",""
"Conventional Heavy","CHV","2018-09-04","CHV-765","Superior","934.7","19.8","3.58","10.9","","1.26","","55.4","131","","0.06","1.16","5.44","3.66","3.47","1.85","1.08","","0.12","0.27","0.06","0.32","0.03","0.72","3.65","2.6","2.55","1.4","0.83","-","0.11","0.25","0.06","0.3","60.3","113.5","251.2","344.1","415.3","476.5","543.3","620.2","706.8","","","",""
"Conventional Heavy","CHV","2018-08-14","CHV-865","Superior","931.8","20.2","3.35","10.4","","1.24","","51","118","","0.07","1.6","6.14","4.02","2.89","1.57","0.99","","0.12","0.27","0.05","0.31","0.04","1","4.14","2.86","2.13","1.19","0.77","-","0.11","0.25","0.05","0.29","38.4","97.7","244.2","336.9","407.8","468","530.8","602.1","689.2","","","",""
"Conventional Heavy","CHV","2018-07-03","CHV-806","Superior","931.3","20.3","3.27","11.1","327.6","1.1","7.9","51.4","119","","0.09","1.38","7","4.6","3.18","1.58","1.08","","0.13","0.26","0.02","0.3","0.05","0.87","4.72","3.28","2.35","1.2","0.84","-","0.12","0.24","0.02","0.28","36.8","67.4","241.7","346.5","418.3","480.5","543.1","612.5","697","","","",""
"Conventional Heavy","CHV","2018-06-08","CHV-876","Superior","927.9","20.9","3.26","10.3","","1.28","","51.2","124","","0.07","1.53","6.98","4.8","3.47","1.76","1.11","","0.14","0.31","0.06","0.35","0.04","0.96","4.72","3.43","2.57","1.34","0.86","-","0.13","0.29","0.06","0.33","36.1","90","218.4","322.9","400.9","467.6","538.2","619.6","712.7","","","",""
"Conventional Heavy","CHV","2018-05-02","CHV-914","Superior","921.6","21.9","3.39","9.1","","1.17","","45.8","112","","0.11","2.07","6.19","4.43","3.39","1.71","1.24","","0.14","0.32","0.03","0.37","0.06","1.31","4.22","3.19","2.53","1.31","0.97","-","0.13","0.3","0.03","0.35","36.1","91.8","210.8","303","372.6","435.6","504.5","589.1","688.7","","","",""
"Conventional Heavy","CHV","2018-04-04","CHV-726","Superior","922.5","21.8","3.27","10.9","245.5","1.21","5.6","51.3","130","ND","0.11","1.5","8.09","5.21","3.5","1.71","1.14","","0.15","0.3","0.02","0.34","0.06","0.95","5.51","3.75","2.61","1.31","0.89","-","0.14","0.28","0.02","0.32","36.1","76.7","203.6","321.6","399.8","462.9","528.7","600","683.3","","","",""
"Conventional Heavy","CHV","2018-03-03","CHV-603","Superior","927.5","20.9","3.49","9.8","","1.06","","46.6","120","","0.15","2.67","6.75","5.09","3.89","2.35","1.58","","0.14","0.29","0.04","0.37","0.08","1.68","4.57","3.64","2.88","1.79","1.23","-","0.13","0.27","0.04","0.35","36.1","77.5","254.6","338","409.4","471.5","539.1","616.5","707.8","","","",""
"Conventional Heavy","CHV","2018-02-01","CHV-952","Superior","925.3","21.3","3.46","11.3","","1.16","","52.2","128","","0.05","1.21","7.88","5.3","3.31","1.93","1.09","","0.15","0.29","0.05","0.31","0.03","0.76","5.35","3.8","2.46","1.47","0.85","-","0.14","0.27","0.05","0.29","36.1","80.9","257.5","355.7","426.8","493.5","562.6","638.3","719.7","","","",""
