"Crude Name","Acronym","Date","Batch #","Location","Density (kg/m^3)","Gravity (deg. API)","Sulphur (wt%)","MCR (wt%)","Nickel (mg/kg)","Vanadium (mg/kg)","C3- (vol%)","Butanes (vol%)","Pentanes (vol%)","Hexanes (vol%)","Heptanes (vol%)","Octanes (vol%)","Nonanes (vol%)","Decanes (vol%)","Benzene (vol%)","Toluene (vol%)","Ethyl Benzene (vol%)","Xylenes (vol%)","C3- (mass%)","Butanes (mass%)","Pentanes (mass%)","Hexanes (mass%)","Heptanes (mass%)","Octanes (mass%)","Nonanes (mass%)","Decanes (mass%)","Benzene (mass%)","Toluene (mass%)","Ethyl Benzene (mass%)","Xylenes (mass%)","5% Off (deg. C)","10% Off (deg. C)","20% Off (deg. C)","30% Off (deg. C)","40% Off (deg. C)","50% Off (deg. C)","60% Off (deg. C)","70% Off (deg. C)","80% Off (deg. C)","90% Off (deg. C)","95% Off (deg. C)","99% Off (deg. C)","100% Off (deg. C)"
"Pembina Light Sour","PLS","2016-02-03","PLS-156","Edmonton","824.7","40","0.77","2.6","8","19","0.44","4.62","3.76","7.22","8.89","7.9","5.98","2.6","0.47","1.42","0.27","1.38","0.27","3.26","2.87","5.81","7.41","6.77","5.23","2.31","0.5","1.5","0.29","1.45","46.3","82.7","125.7","172.8","228.4","288.9","347.9","412.1","482","582.1","659.9","",""
"Pembina Light Sour","PLS","2015-12-03","PLS-116","Edmonton","829.7","38.9","0.93","3.2","13","32","0.51","4.93","4.35","7.63","9.2","8.01","5.31","2.64","0.52","1.5","0.27","1.54","0.3","3.46","3.3","6.1","7.63","6.82","4.62","2.33","0.55","1.58","0.28","1.61","67.3","89.6","133.9","185.4","249.1","312","378.2","451.3","549","714.2","","",""
"Pembina Light Sour","PLS","2015-10-01","PLS-209","Edmonton","833.2","38.2","1.11","3.5","15","42","0.36","4.71","4.49","7.07","8.46","7.41","5.69","2.55","0.42","1.24","0.22","1.14","0.22","3.29","3.38","5.63","6.98","6.28","4.93","2.24","0.45","1.3","0.23","1.19","42.4","86","127.4","176.7","241.8","305.7","372.3","444.4","541.4","694.6","","",""
"Pembina Light Sour","PLS","2015-08-02","PLS-171","Edmonton","834.3","37.9","0.87","2.7","11","28","0.4","1.97","3.83","7.32","9.66","8.71","5.91","2.95","0.43","1.62","0.28","1.83","0.24","1.38","2.88","5.82","7.96","7.37","5.11","2.59","0.46","1.69","0.29","1.9","74.9","100.4","134.1","175.5","231.8","289.5","348.3","413.7","489.9","603.5","705.2","",""
"Pembina Light Sour","PLS","2015-06-10","PLS-131","Edmonton","823.4","40.2","0.74","2.5","10","24","0.46","5.1","4.17","7.72","9.09","8.04","5.31","2.58","0.46","1.35","0.26","1.48","0.28","3.61","3.18","6.22","7.59","6.9","4.65","2.3","0.49","1.43","0.28","1.56","48.1","80","121.9","171.5","231.9","291","351.4","418.8","498.4","624.2","","",""
"Pembina Light Sour","PLS","2015-04-02","PLS-097","Edmonton","824.2","40","0.67","2.3","8","22","0.57","4.74","3.92","6.61","8.07","7.44","5.54","2.53","0.39","1.19","0.24","1.35","0.34","3.35","2.99","5.32","6.73","6.38","4.85","2.25","0.42","1.26","0.25","1.42","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2015-02-02","PLS-069","Edmonton","817.5","41.5","0.49","1.9","5","11","0.61","4.64","3.82","6.97","8.75","8.31","6.15","2.91","0.41","1.34","0.27","1.56","0.37","3.31","2.94","5.66","7.36","7.18","5.43","2.61","0.44","1.43","0.29","1.66","62.4","84.8","128.4","171.6","223.1","277.5","335.5","404.7","484.2","608.4","","",""
"Pembina Light Sour","PLS","2014-12-02","PLS-553","Edmonton","821.7","40.6","0.6","2.1","6","14","0.59","4.66","4.25","7.42","9.04","8.11","5.66","2.71","0.45","1.41","0.25","1.49","0.35","3.31","3.25","5.99","7.57","6.98","4.97","2.42","0.48","1.5","0.27","1.57","42.3","79","115.3","162.5","217.6","275.9","334","399.8","473.8","583.2","680.4","",""
"Pembina Light Sour","PLS","2014-10-04","PLS-522","Edmonton","824.9","39.9","0.74","2.5","8","19","0.47","4.13","3.66","6.63","8.43","8.21","6.27","2.79","0.4","1.37","0.28","1.59","0.28","2.94","2.79","5.34","7.03","7.04","5.49","2.48","0.43","1.45","0.3","1.67","36","73.5","115.2","164.9","215.8","271.3","334.7","408.8","496.2","648.9","","",""
"Pembina Light Sour","PLS","2014-09-01","PLS-504","Edmonton","833.6","38.1","0.97","3.2","12","31","0.44","4.07","3.5","6.7","8.61","8.08","5.67","2.73","0.45","1.5","0.28","1.72","0.26","2.86","2.64","5.33","7.1","6.85","4.91","2.4","0.48","1.57","0.29","1.79","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2014-08-01","PLS-486","Edmonton","829.6","38.9","0.84","2.8","8","20","0.56","4.3","3.9","6.88","8.48","7.57","5.03","2.58","0.42","1.3","0.23","1.44","0.33","3.03","2.95","5.5","7.03","6.45","4.38","2.28","0.45","1.37","0.24","1.51","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2014-07-14","PLS-477","Edmonton","834.3","38","0.99","3.2","13","34","0.35","3.85","3.74","7.05","8.93","8.24","5.49","2.88","0.49","1.53","0.29","1.64","0.21","2.69","2.82","5.61","7.36","6.98","4.75","2.53","0.52","1.6","0.3","1.7","47.5","81.2","127.5","175","233.9","294.9","356.5","426","510.8","643.4","","",""
"Pembina Light Sour","PLS","2014-06-03","PLS-383","Edmonton","830.5","38.8","1.06","3.4","19","50","0.32","3.33","5.31","8.47","9.74","8.21","5.24","2.74","0.54","1.53","0.27","1.56","0.19","2.35","4.02","6.77","8.06","6.98","4.55","2.42","0.57","1.61","0.28","1.63","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2014-05-06","PLS-367","Edmonton","834.1","38","1.03","3.2","13","33","0.35","4.27","4.51","7.66","9.14","7.96","5.21","2.42","0.53","1.59","0.29","1.62","0.21","2.99","3.4","6.09","7.53","6.74","4.5","2.13","0.56","1.66","0.3","1.68","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2014-04-09","PLS-348","Edmonton","833.3","38.2","0.71","2.5","7","16","0.46","1.93","4.12","7.54","9.09","7.94","5.21","2.39","0.45","1.41","0.26","1.47","0.27","1.35","3.11","6","7.5","6.73","4.51","2.1","0.48","1.47","0.27","1.53","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2014-03-03","PLS-326","Edmonton","826.1","39.7","0.36","2.5","7","16","0.51","4.31","3.26","6.52","8.34","7.51","5.13","2.41","0.37","1.29","0.27","1.38","0.3","3.04","2.48","5.23","6.94","6.42","4.48","2.14","0.4","1.36","0.28","1.45","36.1","75.4","102.7","149.8","206","270.2","333.2","401.7","473.4","572.7","649.9","",""
"Pembina Light Sour","PLS","2014-02-03","PLS-309","Edmonton","830.4","38.8","0.45","2.2","5","12","0.51","4.1","3","5.22","6.27","6.02","4.42","2.06","0.21","0.71","0.19","0.94","0.31","2.88","2.27","4.17","5.19","5.12","3.84","1.82","0.22","0.74","0.2","0.98","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2014-01-06","PLS-282","Edmonton","823.9","40.1","0.42","1.8","4","9","0.46","4.15","3.5","6.4","8.04","7.59","5.52","2.79","0.32","1.1","0.25","1.32","0.28","2.93","2.67","5.15","6.7","6.5","4.83","2.48","0.34","1.16","0.26","1.39","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2013-12-10","PLS-602","Edmonton","831.2","38.6","0.52","2.1","7","11","0.56","3.95","3.23","5.7","7.05","6.81","5","2.44","0.25","0.86","0.22","1.11","0.33","2.77","2.44","4.55","5.83","5.79","4.34","2.15","0.27","0.9","0.23","1.16","80","102.4","144.7","195","248.2","302.1","356.6","415.9","478.9","565.1","626.7","700.1",""
"Pembina Light Sour","PLS","2013-11-12","PLS-578","Edmonton","826.6","39.6","0.63","2.3","8","18","0.57","4.75","3.33","5.97","7.42","6.83","4.88","2.34","0.28","0.95","0.21","1.08","0.34","3.35","2.53","4.79","6.17","5.84","4.26","2.08","0.3","1","0.22","1.13","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2013-10-01","PLS-557","Edmonton","829.5","39","0.52","2.1","8","16","0.51","4.46","2.89","5.73","7.66","7.41","5.62","2.69","0.29","1.02","0.24","1.24","0.3","3.13","2.19","4.58","6.35","6.31","4.89","2.38","0.31","1.07","0.25","1.3","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2013-09-04","PLS-649","Edmonton","828.6","39.1","0.59","2.3","6","15","0.27","2.83","2.93","6.03","8.68","9.14","6.97","3.67","0.3","1.18","0.29","1.6","0.16","2","2.22","4.83","7.2","7.79","6.07","3.25","0.32","1.24","0.3","1.68","35.6","73.4","113.4","164.8","223","286","345.8","412.1","483.5","588.3","675.8","",""
"Pembina Light Sour","PLS","2013-08-08","PLS-363","Edmonton","827.4","39.4","0.61","2.3","7","16","0.43","3.21","3.54","6.63","8.7","8.36","5.86","2.91","0.35","1.28","0.27","1.55","0.26","2.26","2.69","5.32","7.23","7.14","5.11","2.58","0.37","1.35","0.28","1.62","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2013-07-03","PLS-343","Edmonton","831","38.6","0.45","2","4","11","0.51","3.85","3.6","5.89","7.57","7.02","4.85","2.24","0.27","0.98","0.23","1.16","0.3","2.71","2.72","4.7","6.26","5.97","4.21","1.98","0.29","1.03","0.24","1.21","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2013-06-10","PLS-332","Edmonton","826.9","39.5","0.42","1.8","3","7","0.56","4.49","3.73","6.07","7.41","6.95","4.8","2.21","0.28","0.91","0.22","1.13","0.33","3.17","2.83","4.87","6.16","5.93","4.19","1.96","0.3","0.96","0.23","1.18","62.4","97","135.9","188.5","245.3","298.9","352.2","411","473.4","560","621.4","690.6",""
"Pembina Light Sour","PLS","2013-05-07","PLS-314","Edmonton","824.9","39.9","0.42","1.9","4","8","0.46","3.84","3.06","5.4","6.84","6.57","5.1","2.31","0.23","0.79","0.21","0.98","0.28","2.72","2.33","4.35","5.7","5.63","4.46","2.06","0.25","0.83","0.22","1.03","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2013-04-03","PLS-286","Edmonton","836.6","37.5","0.77","2.9","10","26","0.42","3.98","3.06","5.83","7.39","7.01","5.33","2.58","0.36","1.13","0.26","1.32","0.25","2.78","2.3","4.62","6.07","5.92","4.6","2.26","0.38","1.18","0.27","1.37","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2013-03-03","PLS-257","Edmonton","843.5","36.1","0.96","3.2","12","33","0.24","2.45","2.09","5.11","7.8","8.14","6.57","3.37","0.32","1.26","0.31","1.48","0.14","1.69","1.56","4.02","6.36","6.82","5.62","2.93","0.34","1.3","0.32","1.52","38.9","76.7","104.9","157.7","216.3","278.3","338.6","404.2","473.7","568.5","634.6","707.9",""
"Pembina Light Sour","PLS","2013-02-02","PLS-241","Edmonton","846","35.6","1.09","2.7","9","30","0.5","4.74","2.7","5.56","7.38","7.15","5.58","2.69","0.34","1.09","0.24","1.29","0.29","3.26","2","4.36","5.99","5.97","4.76","2.33","0.36","1.12","0.25","1.32","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2013-01-01","PLS-231","Edmonton","827.8","39.3","0.78","2.2","7","19","0.26","5.81","2.46","5.46","7.51","7.37","6.23","3.31","0.37","1.03","0.25","1.32","0.16","4.09","1.87","4.38","6.24","6.29","5.43","2.93","0.4","1.08","0.26","1.38","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2012-12-03","PLS-516","Edmonton","823.5","40.2","0.8","2.1","6","17","0.3","5.6","2.88","5.98","7.97","7.61","6.7","3.18","0.37","1.05","0.25","1.34","0.18","3.96","2.2","4.82","6.65","6.53","5.87","2.83","0.4","1.11","0.26","1.41","","","","","","","","","","","","",""
"Pembina Light Sour","PLS","2012-11-05","PLS-505","Edmonton","828.8","39.1","0.77","2.2","5","12","0.36","4.27","2.59","6.17","8.46","8.65","6.93","3.48","0.54","1.45","0.3","1.84","0.22","3","1.96","4.94","7.02","7.38","6.04","3.08","0.58","1.53","0.32","1.93","","","","","","","","","","","","",""
